Date,USDCNY
5/26/17,6.8555
5/25/17,6.8685
5/24/17,6.8901
5/23/17,6.8852
5/22/17,6.8864
5/19/17,6.885
5/18/17,6.8892
5/17/17,6.8784
5/16/17,6.8867
5/15/17,6.8935
5/12/17,6.8995
5/11/17,6.9037
5/10/17,6.9032
5/9/17,6.9074
5/8/17,6.9045
5/5/17,6.9031
5/4/17,6.896
5/3/17,6.8989
5/2/17,6.8959
4/28/17,6.8935
4/27/17,6.8979
4/26/17,6.8926
4/25/17,6.8847
4/24/17,6.8847
4/21/17,6.8859
4/20/17,6.8822
4/19/17,6.888
4/18/17,6.882
4/17/17,6.8803
4/14/17,6.8854
4/13/17,6.89
4/12/17,6.8915
4/11/17,6.8921
4/10/17,6.903
4/7/17,6.9005
4/6/17,6.8977
4/5/17,6.8948
3/31/17,6.8872
3/30/17,6.8894
3/29/17,6.8901
3/28/17,6.8795
3/27/17,6.8729
3/24/17,6.8837
3/23/17,6.8863
3/22/17,6.8819
3/21/17,6.8874
3/20/17,6.9085
3/17/17,6.9034
3/16/17,6.898
3/15/17,6.9149
3/14/17,6.915
3/13/17,6.9143
3/10/17,6.9093
3/9/17,6.911
3/8/17,6.9131
3/7/17,6.9025
3/6/17,6.897
3/3/17,6.8999
3/2/17,6.8899
3/1/17,6.8819
2/28/17,6.867
2/27/17,6.8708
2/24/17,6.8691
2/23/17,6.8661
2/22/17,6.8778
2/21/17,6.884
2/20/17,6.8785
2/17/17,6.8665
2/16/17,6.853
2/15/17,6.8711
2/14/17,6.8675
2/13/17,6.8802
2/10/17,6.8785
2/9/17,6.8691
2/8/17,6.8638
2/7/17,6.8853
2/6/17,6.863
2/3/17,6.8672
1/26/17,6.884
1/25/17,6.8836
1/24/17,6.859
1/23/17,6.8537
1/20/17,6.8765
1/19/17,6.872
1/18/17,6.8496
1/17/17,6.845
1/16/17,6.9008
1/13/17,6.9005
1/12/17,6.8941
1/11/17,6.9377
1/10/17,6.9215
1/9/17,6.9375
1/6/17,6.9241
1/5/17,6.8767
1/4/17,6.9342
1/3/17,6.964
12/30/16,6.945
12/29/16,6.9559
12/28/16,6.9613
12/27/16,6.952
12/26/16,6.9489
12/23/16,6.9462
12/22/16,6.9484
12/21/16,6.944
12/20/16,6.9527
12/19/16,6.9605
12/16/16,6.9615
12/15/16,6.9467
12/14/16,6.9049
12/13/16,6.9023
12/12/16,6.9069
12/9/16,6.908
12/8/16,6.891
12/7/16,6.8767
12/6/16,6.8818
12/5/16,6.8815
12/2/16,6.88
12/1/16,6.8856
11/30/16,6.8894
11/29/16,6.9047
11/28/16,6.9153
11/25/16,6.9188
11/24/16,6.9219
11/23/16,6.919
11/22/16,6.89
11/21/16,6.8928
11/18/16,6.8865
11/17/16,6.8781
11/16/16,6.8804
11/15/16,6.859
11/14/16,6.86
11/11/16,6.812
11/10/16,6.8059
11/9/16,6.7915
11/8/16,6.787
11/7/16,6.7766
11/4/16,6.7565
11/3/16,6.765
11/2/16,6.757
11/1/16,6.7657
10/31/16,6.7758
10/28/16,6.7789
10/27/16,6.7835
10/26/16,6.7712
10/25/16,6.7804
10/24/16,6.7752
10/21/16,6.767
10/20/16,6.7449
10/19/16,6.7378
10/18/16,6.7409
10/17/16,6.7375
10/14/16,6.7283
10/13/16,6.7274
10/12/16,6.7195
10/11/16,6.722
10/10/16,6.7075
9/30/16,6.6718
9/29/16,6.6672
9/28/16,6.6751
9/27/16,6.6701
9/26/16,6.6689
9/23/16,6.6694
9/22/16,6.6648
9/21/16,6.6688
9/20/16,6.672
9/19/16,6.6685
9/14/16,6.6747
9/13/16,6.6795
9/12/16,6.6802
9/9/16,6.685
9/8/16,6.6669
9/7/16,6.6625
9/6/16,6.67
9/5/16,6.6771
9/2/16,6.6805
9/1/16,6.675
8/31/16,6.6793
8/30/16,6.6807
8/29/16,6.683
8/26/16,6.6695
8/25/16,6.6595
8/24/16,6.659
8/23/16,6.6409
8/22/16,6.6507
8/19/16,6.6532
8/18/16,6.6312
8/17/16,6.6344
8/16/16,6.6254
8/15/16,6.638
8/12/16,6.6362
8/11/16,6.6337
8/10/16,6.636
8/9/16,6.6557
8/8/16,6.6614
8/5/16,6.6603
8/4/16,6.6418
8/3/16,6.6342
8/2/16,6.6272
8/1/16,6.6439
7/29/16,6.635
7/28/16,6.6576
7/27/16,6.67
7/26/16,6.672
7/25/16,6.6799
7/22/16,6.6795
7/21/16,6.6755
7/20/16,6.6778
7/19/16,6.6963
7/18/16,6.7045
7/15/16,6.6935
7/14/16,6.6835
7/13/16,6.6887
7/12/16,6.6885
7/11/16,6.696
7/8/16,6.6908
7/7/16,6.682
7/6/16,6.6886
7/5/16,6.686
7/4/16,6.6653
7/1/16,6.6597
6/30/16,6.648
6/29/16,6.6368
6/28/16,6.6481
6/27/16,6.6474
6/24/16,6.6218
6/23/16,6.5807
6/22/16,6.5784
6/21/16,6.591
6/20/16,6.582
6/17/16,6.587
6/16/16,6.5915
6/15/16,6.5818
6/14/16,6.597
6/13/16,6.5856
6/8/16,6.5624
6/7/16,6.5715
6/6/16,6.5637
6/3/16,6.5492
6/2/16,6.5845
6/1/16,6.58
5/31/16,6.5854
5/30/16,6.5833
5/27/16,6.5655
5/26/16,6.5585
5/25/16,6.558
5/24/16,6.5572
5/23/16,6.5557
5/20/16,6.549
5/19/16,6.5495
5/18/16,6.5386
5/17/16,6.5204
5/16/16,6.5205
5/13/16,6.532
5/12/16,6.5167
5/11/16,6.4985
5/10/16,6.5208
5/9/16,6.5169
5/6/16,6.496
5/5/16,6.5102
5/4/16,6.5101
5/3/16,6.4945
4/29/16,6.478
4/28/16,6.4759
4/27/16,6.498
4/26/16,6.4935
4/25/16,6.4928
4/22/16,6.4995
4/21/16,6.4823
4/20/16,6.4684
4/19/16,6.46
4/18/16,6.4752
4/15/16,6.4755
4/14/16,6.4826
4/13/16,6.4784
4/12/16,6.4645
4/11/16,6.4592
4/8/16,6.4636
4/7/16,6.4625
4/6/16,6.4809
4/5/16,6.4771
4/1/16,6.4818
3/31/16,6.4536
3/30/16,6.4683
3/29/16,6.5078
3/28/16,6.5075
3/25/16,6.516
3/24/16,6.5147
3/23/16,6.5066
3/22/16,6.4902
3/21/16,6.4845
3/18/16,6.4716
3/17/16,6.4773
3/16/16,6.522
3/15/16,6.5145
3/14/16,6.5
3/11/16,6.4945
3/10/16,6.5085
3/9/16,6.513
3/8/16,6.5047
3/7/16,6.5168
3/4/16,6.508
3/3/16,6.5347
3/2/16,6.551
3/1/16,6.5521
2/29/16,6.552
2/26/16,6.5404
2/25/16,6.5335
2/24/16,6.5317
2/23/16,6.5272
2/22/16,6.5218
2/19/16,6.5223
